ds,yhat,yhat_lower,yhat_upper
2010-12-05,57966.06398698489,27444.94282864928,86266.38777764041
2010-12-12,59455.78104275213,26848.3634388195,91459.58643291163
2010-12-19,60945.49809851938,27838.563464599254,92379.30848063817
2010-12-26,62435.21515464328,31487.803873794972,96578.43181352214
2011-01-02,63924.93221015317,32532.85572497297,94711.33485894541
2011-01-09,65414.649265663065,34895.369354312905,98841.61548054882
2011-01-16,66904.36632220823,35383.96153940402,97141.98701708419
2011-01-23,68394.0833793552,36863.49359084259,102458.89580505175
2011-01-30,69883.80043650218,40268.453166796964,105485.9623685914
2011-02-06,71373.51749323038,40550.7891760027,103875.04593148977
2011-02-13,72863.23455078316,39404.27133429099,103206.50775601284
2011-02-20,74352.95160833596,44841.73346919269,106925.03249405487
2011-02-27,75842.66866664837,45046.89897297645,109064.22573203378
2011-03-06,77332.38572487466,46313.74622998306,108781.74233611232
2011-03-13,78822.10278310094,47421.5724002982,112895.79573312345
2011-03-20,80311.81984137304,47757.004281606336,113473.6416867506
2011-03-27,81801.53689964511,47562.124769635055,110730.60681891137
2011-04-03,83291.25395764786,53079.022300761,113626.56342076474
2011-04-10,84780.97101620275,53287.85578499537,116113.99607610368
2011-04-17,86270.68807475764,53971.736901827324,117463.88205464343
2011-04-24,87760.40513607649,56275.75073794367,120884.25858693085
2011-05-01,89250.12220260657,55042.92495032657,121652.04483685692
2011-05-08,90739.83926913666,59660.138352018854,121054.57795873645
2011-05-15,92229.97439027237,60801.90112999951,123834.88478861551
2011-05-22,93720.12461221189,61007.748171608684,125354.71706969423
2011-05-29,95210.27483415141,64509.01473119811,129236.06962179355
2011-06-05,96700.42609587336,65213.030812964804,130028.69146908984
2011-06-12,98190.57735759532,63804.29080693578,127456.09879956773
2011-06-19,99681.45105739892,65993.02605459152,130148.21376516078
2011-06-26,101172.56191346253,72091.14723379996,131664.18084968504
2011-07-03,102663.67276952614,69863.74284926913,136974.90068819246
2011-07-10,104154.80638084286,72055.76747426874,137129.3402525426
2011-07-17,105646.46327642392,74358.59990274256,135977.32032437384
2011-07-24,107138.12017200502,75997.68899371955,137950.99924711784
2011-07-31,108630.493662835,76731.21708287922,139206.6701685992
2011-08-07,110123.18875535703,79717.32206933679,142275.76160431394
2011-08-14,111615.88384787907,78612.04535466625,143765.7940436567
2011-08-21,113108.58186412894,81630.04480761841,146369.2379966209
2011-08-28,114601.27988143769,81284.21824214364,148517.19144302025
2011-09-04,116093.97789874647,84147.03609437463,149151.99965488826
2011-09-11,117587.00223727788,86668.56004379441,151572.47658459304
2011-09-18,119080.02657580927,86502.6435955946,150564.6513660606
2011-09-25,120573.05091434068,88252.9495867302,153753.95502043524
2011-10-02,122066.07525287208,90770.1891526666,153572.6028679054
2011-10-09,123559.09959140347,90364.64471111754,154288.93246392702
2011-10-16,125052.12392993488,92991.17922017144,156242.20054234532
2011-10-23,126545.14826846628,95590.06154337767,156521.97860370067
2011-10-30,128038.17260699767,94513.27759595973,163547.53032503568
2011-11-06,129531.19694552908,96702.045464569,161239.9928599683
2011-11-13,131024.22128406048,97670.57313383897,159227.39706979244
2011-11-20,132517.24562259187,98364.14250901357,165515.78365396996
2011-11-27,134010.2699611233,102077.56245262729,166127.5278038769
2011-12-04,135503.29429965466,102292.28659924069,165917.81399115417
2011-12-11,136996.3186381861,103800.59217215616,167814.74762316945
